SceneId,MapId,levelName,Chaper,MapName,MapRand,Diffcult,GroupName,ShowCount,TargetCount,MapType,CardAndKey,KeyCount,TimeLimit,countScore,BuffTypeList,PropsTypeList,CommonDropList,CommonDropCount,Gold,ConsumePropList,Prestige,FrontMapId
SE0001,MA00101,"""0-1-1""",CH0000,["chr/scene_chr_officeout"],0,"[{""3"":0,""2"":0,""1"":0,""0"":6}]",[],"[{""3"":0,""2"":0,""1"":0,""0"":20}]",[6],2,"[""DR1001"",""DR2001""]",0,120,"[8000,11200,15600]","[[""item"",""IT0204"",""count"",1],[""item"",""IT0205"",""count"",1],[""item"",""IT0206"",""count"",1]]","[[""item"",""IT0201"",""count"",5],[""item"",""IT0209"",""count"",2],[""item"",""IT0208"",""count"",3]]",["AL00101"],1,"[""currency"",""IT0011"",""count"",130]","[[""currency"",""IT0020"",""count"",5]]","[""item"",""IT0030"",""count"",5]",[[]]
SE0001,MA00102,"""0-1-2""",CH0000,["chr/scene_chr_officeout"],0,"[{""3"":0,""2"":0,""1"":0,""0"":6}]",[],"[{""3"":0,""2"":0,""1"":0,""0"":20}]",[6],0,"[""DR1002"",""DR2002""]",0,120,"[8000,11200,15600]","[[""item"",""IT0204"",""count"",1],[""item"",""IT0205"",""count"",1],[""item"",""IT0206"",""count"",1]]","[[""item"",""IT0201"",""count"",5],[""item"",""IT0209"",""count"",2],[""item"",""IT0202"",""count"",3]]",["AL00102"],1,"[""currency"",""IT0011"",""count"",130]","[[""currency"",""IT0020"",""count"",5]]","[""item"",""IT0030"",""count"",5]","[[""level"",""MA00101"",""count"", 1]]"
SE0001,MA00103,"""0-1-3""",CH0000,["chr/scene_chr_officeout"],0,"[{""3"":0,""2"":2,""1"":0,""0"":8}]",[],"[{""3"":0,""2"":0,""1"":0,""0"":20}]",[10],2,"[""DR1003"",""DR2003""]",0,120,"[10000,14000,19500]","[[""item"",""IT0204"",""count"",1],[""item"",""IT0205"",""count"",1],[""item"",""IT0206"",""count"",1]]","[[""item"",""IT0201"",""count"",5],[""item"",""IT0209"",""count"",2],[""item"",""IT0208"",""count"",3]]",["NR00102"],PE01,"[""currency"",""IT0011"",""count"",160]","[[""currency"",""IT0020"",""count"",6]]","[""item"",""IT0030"",""count"",6]","[[""level"",""MA00102"",""count"", 1]]"
SE0001,MA00104,"""0-1-4""",CH0000,["chr/scene_chr_officeout"],0,"[{""3"":0,""2"":0,""1"":0,""0"":8}]",[],"[{""3"":0,""2"":0,""1"":0,""0"":20}]",[8],0,"[""DR1001"",""DR2002""]",0,120,"[8000,11200,15600]","[[""item"",""IT0204"",""count"",1],[""item"",""IT0205"",""count"",1],[""item"",""IT0206"",""count"",1]]","[[""item"",""IT0201"",""count"",5],[""item"",""IT0209"",""count"",2],[""item"",""IT0208"",""count"",4]]",["AL00104"],1,"[""currency"",""IT0011"",""count"",160]","[[""currency"",""IT0020"",""count"",6]]","[""item"",""IT0030"",""count"",6]","[[""level"",""MA00103"",""count"", 1]]"
SE0001,MA00105,"""0-1-5""",CH0000,["chr/scene_chr_officeout"],0,"[{""3"":0,""2"":0,""1"":0,""0"":8}]",[],"[{""3"":0,""2"":0,""1"":0,""0"":20}]",[8],1,"[""DR1002"",""DR2003""]",0,120,"[8000,11200,15600]","[[""item"",""IT0204"",""count"",1],[""item"",""IT0205"",""count"",1],[""item"",""IT0206"",""count"",1]]","[[""item"",""IT0201"",""count"",5],[""item"",""IT0209"",""count"",2],[""item"",""IT0202"",""count"",4]]",["AL00105"],1,"[""currency"",""IT0011"",""count"",160]","[[""currency"",""IT0020"",""count"",6]]","[""item"",""IT0030"",""count"",6]","[[""level"",""MA00104"",""count"", 1]]"
SE0001,MA00106,"""0-1-6""",CH0000,["chr/dif_chr_officeout"],0,"[{""3"":0,""2"":0,""1"":0,""0"":8}]",[],"[{""3"":0,""2"":0,""1"":0,""0"":20}]",[8],3,"[""DR1003"",""DR2004""]",0,120,"[10000,14000,19501]","[[""item"",""IT0204"",""count"",1],[""item"",""IT0205"",""count"",1],[""item"",""IT0206"",""count"",1]]","[[""item"",""IT0201"",""count"",5],[""item"",""IT0209"",""count"",2],[""item"",""IT0208"",""count"",4]]",["NR00103"],PE01,"[""currency"",""IT0011"",""count"",190]","[[""currency"",""IT0020"",""count"",7]]","[""item"",""IT0030"",""count"",7]","[[""level"",""MA00105"",""count"", 1]]"
SE0001,MA00107,"""0-1-7""",CH0000,["chr/type_chr_officeout"],0,"[{""0"":1,""1"":1,""2"":1,""3"":1,""4"":1,""5"":1,""6"":1,""7"":1}]","[""TYPE_OBJ_0201"",""TYPE_OBJ_0202"",""TYPE_OBJ_0203"",""TYPE_OBJ_0204"",""TYPE_OBJ_0205"",""TYPE_OBJ_0206"",""TYPE_OBJ_0207"",""TYPE_OBJ_0208""]","[{""0"":1,""1"":1,""2"":1,""3"":1,""4"":1,""5"":1,""6"":1,""7"":1}]","[4,4]",5,"[""DR1001"",""DR2003""]",0,120,"[8000,11200,15600]","[[""item"",""IT0204"",""count"",1],[""item"",""IT0205"",""count"",1],[""item"",""IT0206"",""count"",1]]","[[""item"",""IT0201"",""count"",5],[""item"",""IT0209"",""count"",2],[""item"",""IT0208"",""count"",5]]",["AL00107"],1,"[""currency"",""IT0011"",""count"",190]","[[""currency"",""IT0020"",""count"",7]]","[""item"",""IT0030"",""count"",7]","[[""level"",""MA00106"",""count"", 1]]"
SE0001,MA00108,"""0-1-8""",CH0000,["chr/scene_chr_officeout"],0,"[{""3"":0,""2"":0,""1"":0,""0"":10}]",[],"[{""3"":0,""2"":0,""1"":0,""0"":20}]",[10],0,"[""DR1002"",""DR2004""]",0,120,"[8000,11200,15600]","[[""item"",""IT0204"",""count"",1],[""item"",""IT0205"",""count"",1],[""item"",""IT0206"",""count"",1]]","[[""item"",""IT0201"",""count"",5],[""item"",""IT0209"",""count"",2],[""item"",""IT0202"",""count"",5]]",["AL00108"],1,"[""currency"",""IT0011"",""count"",190]","[[""currency"",""IT0020"",""count"",7]]","[""item"",""IT0030"",""count"",7]","[[""level"",""MA00107"",""count"", 1]]"
SE0001,MA00109,"""0-1-9""",CH0000,["chr/jigsaw_chr_officeout"],0,[],[],[],[10],4,"[""DR1003"",""DR2005""]",0,100,"[10000,14000,19502]","[[""item"",""IT0204"",""count"",1],[""item"",""IT0205"",""count"",1],[""item"",""IT0206"",""count"",1]]","[[""item"",""IT0201"",""count"",5],[""item"",""IT0209"",""count"",2],[""item"",""IT0208"",""count"",5]]",["NR00103"],PE01,"[""currency"",""IT0011"",""count"",190]","[[""currency"",""IT0020"",""count"",7]]","[""item"",""IT0030"",""count"",7]","[[""level"",""MA00108"",""count"", 1]]"
SE0001,MA00110,"""0-1-10""",CH0000,["chr/dif_chr_officeout"],0,"[{""3"":0,""2"":0,""1"":0,""0"":10}]",[],"[{""3"":0,""2"":0,""1"":0,""0"":20}]",[10],3,"[""DR1001"",""DR2004""]",0,100,"[8000,11200,15600]","[[""item"",""IT0204"",""count"",1],[""item"",""IT0205"",""count"",1],[""item"",""IT0206"",""count"",1]]","[[""item"",""IT0201"",""count"",5],[""item"",""IT0209"",""count"",2],[""item"",""IT0208"",""count"",6]]",["NR00104"],PE01,"[""currency"",""IT0011"",""count"",210]","[[""currency"",""IT0020"",""count"",8]]","[""item"",""IT0030"",""count"",8]","[[""level"",""MA00109"",""count"", 1]]"
